file,fileDescription,fieldName,fieldDescription,dataType,units,source
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,siteID,NEON site code,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,subsampleCode,Barcode of a subsample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,subsampleIDList,List of subsampleIDs,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,taxonID,"Species code, based on one or more sources",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,uid,Unique ID within NEON database; an identifier for the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,acceptedTaxonID,"Accepted species code, based on one or more sources",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,dataQF,Data quality flag,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,domainID,Unique identifier of the NEON domain,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,endDate,The end date-time or interval during which an event occurred,dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationRemarks,Comments or notes about the identification,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationTable,The table(s) containing the record to which this identification history applies,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identifiedBy,An identifier for the technician who identified the specimen,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,laboratoryName,Name of the laboratory or facility that is processing the sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,namedLocation,Name of the measurement location in the NEON database,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,remarks,Technician notes; free text comments accompanying the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,siteID,NEON site code,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,taxonID,"Species code, based on one or more sources",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,uid,Unique ID within NEON database; an identifier for the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,class,The scientific name of the class in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,collectDate,Date of the collection event,dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,domainID,Unique identifier of the NEON domain,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,family,The scientific name of the family in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,genus,The scientific name of the genus in which the organism is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationRemarks,Comments or notes about the identification,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identifiedBy,An identifier for the technician who identified the specimen,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,individualID,Domain-level unique identifier for an individual: NEON.MOD.D##.######,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,infraspecificEpithet,The infraspecific epithet (scientific name below the rank of species) of the scientific name applied to the taxon,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,kingdom,The scientific name of the kingdom in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,laboratoryName,Name of the laboratory or facility that is processing the sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,morphospeciesID,Identifier for morphospecies,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,namedLocation,Name of the measurement location in the NEON database,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,nativeStatusCode,The process by which the taxon became established in the location,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,order,The scientific name of the order in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,phylum,The scientific name of the phylum or division in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,plotID,Plot identifier (NEON site code_XXX),string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,remarks,Technician notes; free text comments accompanying the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,sampleCondition,Condition of a sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,scientificNameAuthorship,Name of the individual(s) who designated the scientific name of the taxon,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,setDate,Date that trap was set,dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,sex,"M for male, F for female, U for unknown",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,siteID,NEON site code,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,specificEpithet,The specific epithet (second part of the species name) of the scientific name applied to the taxon,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,subfamily,The scientific name of the subfamily in which the organism is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,subgenus,The scientific name of the subgenus in which the taxon is classified. Values should include the genus to avoid homonym confusion,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,taxonID,"Species code, based on one or more sources",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,taxonRank,The lowest level taxonomic rank that can be determined for the individual or specimen,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,tribe,The scientific name of the tribe in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,uid,Unique ID within NEON database; an identifier for the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,class,The scientific name of the class in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,collectDate,Date of the collection event,dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,domainID,Unique identifier of the NEON domain,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,family,The scientific name of the family in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,genus,The scientific name of the genus in which the organism is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationRemarks,Comments or notes about the identification,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identifiedBy,An identifier for the technician who identified the specimen,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,individualID,Domain-level unique identifier for an individual: NEON.MOD.D##.######,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,infraspecificEpithet,The infraspecific epithet (scientific name below the rank of species) of the scientific name applied to the taxon,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,kingdom,The scientific name of the kingdom in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,laboratoryName,Name of the laboratory or facility that is processing the sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,morphospeciesID,Identifier for morphospecies,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,namedLocation,Name of the measurement location in the NEON database,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,order,The scientific name of the order in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,phylum,The scientific name of the phylum or division in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,plotID,Plot identifier (NEON site code_XXX),string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,remarks,Technician notes; free text comments accompanying the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,sampleCondition,Condition of a sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,scientificNameAuthorship,Name of the individual(s) who designated the scientific name of the taxon,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,setDate,Date that trap was set,dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,sex,"M for male, F for female, U for unknown",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,siteID,NEON site code,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,specificEpithet,The specific epithet (second part of the species name) of the scientific name applied to the taxon,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,subfamily,The scientific name of the subfamily in which the organism is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,subgenus,The scientific name of the subgenus in which the taxon is classified. Values should include the genus to avoid homonym confusion,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,taxonID,"Species code, based on one or more sources",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,tribe,The scientific name of the tribe in which the taxon is classified,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,uid,Unique ID within NEON database; an identifier for the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,collectDate,Date of the collection event,dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,coordinateUncertainty,The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term,real,meter,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,cupStatus,Indicator of whether the cup of the trap was disturbed or missing during the sampling bout,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,decimalLatitude,"The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,decimalLongitude,"The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,domainID,Unique identifier of the NEON domain,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,elevation,Elevation (in meters) above sea level,real,meter,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,elevationUncertainty,Uncertainty in elevation values (in meters),real,meter,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,fluidLevel,Fluid level in the trap when it was collected; High (above line); Low (below line) or Ok,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,geodeticDatum,Model used to measure horizontal position on the earth,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,lidStatus,Indicator of whether the lid of the trap was disturbed or missing during the sampling bout,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,namedLocation,Name of the measurement location in the NEON database,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,nlcdClass,National Land Cover Database Vegetation Type Name,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,plotID,Plot identifier (NEON site code_XXX),string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,recordedBy,An identifier for the technician who recorded the data,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,remarks,Technician notes; free text comments accompanying the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,sampleCode,Barcode of a sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,sampleCollected,Indicator of whether a sample was collected,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,sampleCondition,Condition of a sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,sampleID,Identifier for sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,samplingImpractical,Samples and/or measurements were not collected due to the indicated circumstance,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,samplingProtocolVersion,The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,setDate,Date that trap was set,dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,siteID,NEON site code,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,trapID,Identifier for trap,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,trappingDays,Decimal days between trap setting and collecting events,real,nominalDay,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,uid,Unique ID within NEON database; an identifier for the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,acceptedTaxonID,"Accepted species code, based on one or more sources",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,dataQF,Data quality flag,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,domainID,Unique identifier of the NEON domain,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,endDate,The end date-time or interval during which an event occurred,dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationRemarks,Comments or notes about the identification,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationTable,The table(s) containing the record to which this identification history applies,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identifiedBy,An identifier for the technician who identified the specimen,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,laboratoryName,Name of the laboratory or facility that is processing the sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,namedLocation,Name of the measurement location in the NEON database,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,remarks,Technician notes; free text comments accompanying the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,siteID,NEON site code,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,taxonID,"Species code, based on one or more sources",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,uid,Unique ID within NEON database; an identifier for the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,collectDate,Date of the collection event,dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,domainID,Unique identifier of the NEON domain,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identifiedBy,An identifier for the technician who identified the specimen,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,individualID,Domain-level unique identifier for an individual: NEON.MOD.D##.######,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,morphospeciesID,Identifier for morphospecies,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,namedLocation,Name of the measurement location in the NEON database,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,nativeStatusCode,The process by which the taxon became established in the location,string,NA,https://doi.org/10.48443/cd21-q875
