"site","thresh","trapAvg","t.thresh","y.thresh","field_domain_id","field_site_name","field_site_type","field_site_subtype","field_colocated_site","field_site_host","field_site_url","field_nonneon_research_allowed","field_latitude","field_longitude","field_geodetic_datum","field_utm_northing","field_utm_easting","field_utm_zone","field_site_county","field_site_state","field_site_country","field_mean_evelation_m","field_minimum_elevation_m","field_maximum_elevation_m","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_dominant_wind_direction","field_mean_canopy_height_m","field_dominant_nlcd_classes","field_dominant_plant_species","field_usgs_huc","field_watership_name","field_watership_size_km2","field_lake_depth_mean_m","field_lake_depth_max_m","field_tower_height_m","field_megapit_soil_family","field_soil_subgroup","field_avg_number_of_green_days","field_avg_green_increase_doy","field_avg_green_max_doy","field_avg_green_decrease_doy","field_avg_green_min_doy","field_phenocams","field_number_tower_levels","domainName","turnover","years"
"DSNY",9.79684107105123,288.75,490.775283228808,1.69965466053267,"D03","Disney Wilderness Preserve NEON","Gradient Terrestrial","","","The Nature Conservancy","https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/the-disney-wilderness-preserve/","Yes",28.12505,-81.43619,"WGS84",3111130.69,457161.0924,"17N","Osceola","FL","US",20,15,22,"22.5°C",1216,"E",1.5,"Pasture/Hay|Woody Wetlands",NA,"","",NA,NA,NA,8,"Sandy - siliceous - hyperthermic Aeric Alaquods","Aeric Alaquods",260,60,140,190,"320","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D03.DSNY.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D03.DSNY.DP1.00042/",4,"Southeast",0.507871528057863,7
"GRSM",13.6794288559172,298.125,175.946531729537,0.590177045633667,"D07","Great Smoky Mountains National Park NEON","Gradient Terrestrial","","LECO","National Park Service","https://irma.nps.gov/rprs/","Yes",35.68896,-83.50195,"WGS84",3952335.29,273599.8765,"17N","Sevier","TN","US",575,426,1978,"13.1°C",1375,"NW",30,"Deciduous Forest|Evergreen Forest",NA,"","",NA,NA,NA,45,"Loamy-skeletal - isotic - mesic Typic Humudepts","Typic Humudepts",220,90,155,215,"310","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.GRSM.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.GRSM.DP1.00042/",6,"Central Plains",0.390673909642961,7
"HARV",10.6644951509534,295.111111111111,198.888210467861,0.673943484266094,"D01","Harvard Forest & Quabbin Watershed NEON","Core Terrestrial","","HOPB","Massachusetts DCR Division of Water Supply Protection|Harvard University","https://www.mass.gov/service-details/watershed-permits|https://harvardforest.fas.harvard.edu/conducting-research","Limited|Yes",42.53691,-72.17265,"WGS84",4713265.04,732183.1938,"18N","Worcester","MA","US",348,160,415,"7.4°C",1199,"NW",26,"Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands",NA,"","",NA,NA,NA,39,"Coarse-loamy over sandy or sandy-skeletal - mixed - semiactive - frigid Oxyaquic Dystrudepts","Oxyaquic Dystrudepts",210,110,160,220,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D01.HARV.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D01.HARV.DP1.00042/",6,"Northeast",0.320349068777183,8
"HEAL",11.194892427729,190.714285714286,780.127348691295,4.0905553863963,"D19","Healy NEON","Gradient Terrestrial","","","Alaska Department of Natural Resources","http://dnr.alaska.gov/","Yes",63.875798,-149.21335,"WGS84",7085047.87,391276.5986,"6N","Denali","AK","US",677,588,717,"-1.3°C",385,"NW",0.3,"Dwarf Scrub|Evergreen Forest|Shrub/Scrub",NA,"","",NA,NA,NA,9,"Coarse-silty - mixed - superactive - subgelic Typic Histoturbels","Typic Histoturbels",110,135,180,210,"245","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D19.HEAL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D19.HEAL.DP1.00042/",4,"Taiga",0.545164995822891,6
"JERC",23.7648864267921,338.5,2356.89654528308,6.96276675120557,"D03","The Jones Center At Ichauway NEON","Gradient Terrestrial","","FLNT","Robert Woodruff Foundation, Inc.|The Jones Center at Ichauway","http://www.jonesctr.org/research/|https://www.jonesctr.org/","Yes",31.194839,-84.468623,"WGS84",3453956.37,741205.7224,"16N","Baker","GA","US",47,29,55,"19.2°C",1308,"NE",27,"Cultivated Crops|Deciduous Forest|Evergreen Forest|Mixed Forest",NA,"","",NA,NA,NA,42,"Loamy - kaolinitic - thermic Arenic Kandiudults","Arenic Kandiudults",220,90,175,220,"310","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D03.JERC.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D03.JERC.DP1.00042/",6,"Southeast",0.609294844374531,7
"JORN",4.45581975954418,400,769.854242127445,1.92463560531861,"D14","Jornada Experimental Range NEON","Gradient Terrestrial","","","USDA-Agricultural Research Service","https://jornada.nmsu.edu/","Yes",32.590694,-106.84254,"WGS84",3607409.16,327074.62,"13N","Doña Ana","NM","US",1324,1316,1333,"15.7°C",271,"SW",0.4,"Shrub/Scrub",NA,"","",NA,NA,NA,8,"Coarse-loamy - mixed - superactive - thermic Typic Petrocalcids","Typic Petrocalcids",260,80,185,245,"340","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D14.JORN.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D14.JORN.DP1.00042/",4,"Northern Rockies",0.589295410471881,5
"KONA",21.0390440059833,269.166666666667,262.529073735981,0.97534021202222,"D06","Konza Prairie Agroecosystem NEON","Gradient Terrestrial","","KING","Kansas State University","https://kpbs.konza.k-state.edu/scientist-information/permits.html","Yes",39.110446,-96.612935,"WGS84",4331745.28,706389.4538,"14N","Riley","KS","US",323,312,359,"12.7°C",850,"SSW",NA,"Cultivated Crops",NA,"","",NA,NA,NA,8,"Fine - smectitic - mesic Pachic Vertic Argiudolls","Pachic Vertic Argiudolls",210,90,160,210,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONA.DP1.00042/",4,"Prairie Peninsula",0.472315179335802,5
"KONZ",12.8345989662725,346.571428571429,361.438337106639,1.04289709799937,"D06","Konza Prairie Biological Station NEON","Core Terrestrial","","","The Nature Conservancy, Kansas State University","https://kpbs.konza.k-state.edu/scientist-information/permits.html","Yes",39.100774,-96.563075,"WGS84",4330786.53,710729.798,"14N","Riley","KS","US",414,333,443,"12.4°C",870,"SSW",1.5,"Deciduous Forest|Grassland/Herbaceous",NA,"","",NA,NA,NA,8,"Fine - smectitic - mesic Pachic Udertic Argiustolls","Pachic Udertic Argiustolls",210,90,160,210,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONZ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONZ.DP1.00042/",4,"Prairie Peninsula",0.541307046379321,6
"LAJA",10.9458726565729,352.285714285714,647.297908008052,1.83742309653543,"D04","Lajas Experimental Station NEON","Gradient Terrestrial","","","University of Puerto Rico","","Limited",18.021261,-67.076889,"WGS84",1993593.87,703591.1281,"19N","Lajas Municipio","PR","US",16,13,41,"25.0°C",830,"SSE",0.4,"Cultivated Crops|Grassland/Herbaceous|Pasture/Hay",NA,"","",NA,NA,NA,8,"Fine - mixed - superactive - isohyperthermic Sodic Haplusterts","Sodic Haplusterts",365,NA,NA,NA,"","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D04.LAJA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D04.LAJA.DP1.00042/",4,"Atlantic Neotropical",0.547644335511983,6
"LENO",21.5164008674243,343,852.741697606856,2.48612739827072,"D08","Lenoir Landing NEON","Gradient Terrestrial","","TOMB","US Fish and Wildlife Service|US Army Corps of Engineers","https://www.fws.gov/refuge/choctaw/|https://www.sam.usace.army.mil/","Yes|Limited",31.853861,-88.161181,"WGS84",3524827.17,390139.6172,"16N","Choctaw","AL","US",13,NA,NA,"18.1°C",1386,"N",35,"Deciduous Forest|Woody Wetlands",NA,"","",NA,NA,NA,47,"Fine - mixed - active - acid - thermic Vertic Epiaquepts","Vertic Epiaquepts",265,70,145,200,"335","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D08.LENO.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D08.LENO.DP1.00042/",6,"Ozarks Complex",0.510478375443615,5
"MLBS",12.2990488639605,218.166666666667,98.5615327627754,0.451771731532966,"D07","Mountain Lake Biological Station NEON","Gradient Terrestrial","","","George Washington and Jefferson National Forest|University of Virginia","https://www.fs.usda.gov/gwj/|https://mlbs.virginia.edu/resapp","Limited|Yes",37.378314,-80.524847,"WGS84",4136943.44,542067.64,"17N","Giles","VA","US",1170,752,1320,"8.8°C",1227,"WNW",18,"Deciduous Forest",NA,"","",NA,NA,NA,29,"Coarse-loamy - siliceous - semiactive - frigid Fluvaquents","Fluvaquents",200,110,160,220,"310","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.MLBS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.MLBS.DP1.00042/",6,"Central Plains",0.547034784825483,5
"MOAB",6.45371031342769,324.125,197.437139337617,0.609138879560717,"D13","Moab NEON","Gradient Terrestrial","","","Bureau of Land Management","https://www.blm.gov/office/moab-field-office","Yes",38.248283,-109.38827,"WGS84",4234596.51,641031.4708,"12N","San Juan","UT","US",1799,1722,2039,"10.1°C",319,"SSW",0.2,"Evergreen Forest|Shrub/Scrub",NA,"","",NA,NA,NA,8,"Coarse-loamy - mixed - superactive - mesic Ustic Haplocalcids","Ustic Haplocalcids",215,85,165,225,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D13.MOAB.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D13.MOAB.DP1.00042/",4,"Pacific Southwest",0.62493596628935,7
"NIWO",7.46779366475936,155.5,77.1023489030106,0.495835041176917,"D13","Niwot Ridge NEON","Core Terrestrial","","COMO","US Forest Service, University of Colorado-Boulder","","Yes",40.05425,-105.58237,"WGS84",4433940.92,450328.2848,"13N","Boulder","CO","US",3490,2975,3583,"0.3°C",1005,"WNW",0.2,"Evergreen Forest|Grassland/Herbaceous",NA,"","",NA,NA,NA,8,"Coarse-loamy - mixed - superactive Typic Haplocryolls","Typic Haplocryolls",130,140,190,220,"270","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D13.NIWO.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D13.NIWO.DP1.00042/",4,"Pacific Southwest",0.465902834008097,5
"NOGP",16.4268988106693,297.142857142857,339.213706194475,1.14158458815448,"D09","Northern Great Plains Research Laboratory NEON","Gradient Terrestrial","","","USDA Agricultural Research Service","https://www.ars.usda.gov/plains-area/mandan-nd/ngprl/","Yes",46.76972,-100.91535,"WGS84",5181355.71,353761.6032,"14N","Morton","ND","US",589,517,592,"5.9°C",457,"NNE",0.4,"Grassland/Herbaceous",NA,"","",NA,NA,NA,8,"Fine-loamy - mixed - superactive - frigid Typic Argiustolls","Typic Argiustolls",175,115,170,200,"290","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D09.NOGP.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D09.NOGP.DP1.00042/",4,"Northern Plains",0.512718060387185,6
"OAES",9.27548154442494,450.857142857143,659.012548456161,1.46168816197501,"D11","Marvin Klemme Range Research Station NEON","Gradient Terrestrial","","","Oklahoma State University","http://oaes.okstate.edu/","Limited",35.410599,-99.058779,"WGS84",3918579.07,494662.2504,"14N","Washita","OK","US",519,487,531,"15.5°C",779,"SE",1,"Grassland/Herbaceous|Shrub/Scrub",NA,"","",NA,NA,NA,8,"Loamy - mixed - active - thermic Lithic Haplustepts","Lithic Haplustepts",240,70,135,165,"225|310","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D11.OAES.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D11.OAES.DP1.00042/",4,"Southern Rockies/Colorado Plateau",0.652377180409217,6
"ONAQ",5.69591695125604,266.571428571429,507.076545055043,1.9022164069589,"D15","Onaqui NEON","Core Terrestrial","","","Bureau of Land Management","https://www.blm.gov/office/salt-lake-field-office","Limited",40.177599,-112.45245,"WGS84",4448479.61,376339.6859,"12N","Tooele","UT","US",1662,1599,2061,"9.0°C",288,"SW",1.2,"Evergreen Forest|Shrub/Scrub",NA,"","",NA,NA,NA,8,"Fine-loamy - mixed - superactive - mesic Xeric Haplocalcids","Xeric Haplocalcids",205,75,130,170,"280","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D15.ONAQ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D15.ONAQ.DP1.00042/",4,"Great Basin",0.678952991452991,6
"ORNL",27.3418561520974,398.25,695.848746647831,1.74726615605231,"D07","Oak Ridge NEON","Core Terrestrial","","WALK","Department of Energy","https://www.ornl.gov/division/esd","Very Limited",35.964128,-84.282588,"WGS84",3983383.09,745052.4354,"16N","Anderson","TN","US",344,230,356,"14.4°C",1340,"WNW",28,"Deciduous Forest|Evergreen Forest|Pasture/Hay",NA,"","",NA,NA,NA,39,"Fine - kaolinitic - thermic Typic Paleudults","Typic Paleudults",225,90,140,210,"315","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.ORNL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.ORNL.DP1.00042/",6,"Central Plains",0.48438567601689,7
"OSBS",7.53844121989295,349.875,785.940306393447,2.24634599898091,"D03","Ordway-Swisher Biological Station NEON","Core Terrestrial","","SUGG|BARC","University of Florida Foundation","https://ordway-swisher.ufl.edu/ResearchUse.aspx","Yes",29.689282,-81.993431,"WGS84",3284767.49,403886.418,"17N","Putnam","FL","US",46,22,49,"20.9°C",1302,"NE",23,"Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands",NA,"","",NA,NA,NA,35,"Hyperthermic - uncoated Typic Quartzipsamments","Typic Quartzipsamments",245,70,150,190,"315","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D03.OSBS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D03.OSBS.DP1.00042/",6,"Southeast",0.664452205786037,7
"PUUM",4.55141121471483,344.75,102.835840263696,0.298291052251475,"D20","Pu'u Maka'ala Natural Area Reserve NEON","Core Terrestrial","","","Hawaii Forest Department of Land and Natural Resources","https://dlnr.hawaii.gov/ecosystems/nars/permits/","Yes",19.55309,-155.31731,"WGS84",2163673.63,256868.7191,"5N","Hawaii","HI","US",1685,1034,1877,"12.7°C",2657,"",20,"Evergreen Forest",NA,"","",NA,NA,NA,32,"Medial-skeletal - amorphic - isomesic Typic Hapludands","Typic Hapludands",365,NA,NA,NA,"","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D20.PUUM.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D20.PUUM.DP1.00042/",6,"Pacific Tropical",0.294871794871795,3
"RMNP",5.12802829925393,204.333333333333,126.465194060084,0.618916121011831,"D10","Rocky Mountains NEON","Gradient Terrestrial","","","Roosevelt National Forest|National Park Service","https://www.fs.usda.gov/wps/portal/fsinternet/cs/main/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zijQwgwNHCwN_DI8zPwBcqYKBfkO2oCADIwpjI/?pname=Arapaho/&ss=110210&pnavid=null&navid=091000000000000&ttype=main&cid=null|https://www.nps.gov/romo/index.htm","Yes",40.275903,-105.54596,"WGS84",4458524.2,453588.4118,"13N","Larimer","CO","US",2742,2454,3042,"2.9°C",731,"",19,"Evergreen Forest",NA,"","",NA,NA,NA,25,"Loamy-skeletal - mixed - superactive Ustic Haplocryolls","Ustic Haplocryolls",165,120,180,210,"285","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D10.RMNP.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D10.RMNP.DP1.00042/",5,"Southern Plains",0.635814760686883,5
"SCBI",24.9142548153085,354.25,446.803123983868,1.26126499360302,"D02","Smithsonian Conservation Biology Institute NEON","Core Terrestrial","","POSE","Smithsonian Institution","https://www.si.edu/unit/conservation-biology-institute","Yes",38.892925,-78.139494,"WGS84",4308784.08,748090.6473,"17N","Warren","VA","US",352,251,571,"11.6°C",1126,"SSE",35,"Deciduous Forest|Evergreen Forest|Pasture/Hay",NA,"","",NA,NA,NA,52,"Loamy-skeletal - mixed - active - mesic Ultic Hapludalfs","Ultic Hapludalfs",245,85,150,220,"320","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D02.SCBI.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D02.SCBI.DP1.00042/",6,"Mid-Atlantic",0.411529648090841,7
"SERC",19.4951100235038,362.125,344.247193170068,0.950630840649134,"D02","Smithsonian Environmental Research Center NEON","Gradient Terrestrial","","","Smithsonian Institution","https://serc.si.edu/opportunities","Yes",38.890131,-76.560014,"WGS84",4305735.3,364703.6624,"18N","Anne Arundel","MD","US",33,0,43,"13.6°C",1075,"NNW",38,"Cultivated Crops|Deciduous Forest",NA,"","",NA,NA,NA,62,"Fine-loamy - mixed - active - mesic Aquic Hapludults","Aquic Hapludults",245,80,155,220,"325","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D02.SERC.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D02.SERC.DP1.00042/",6,"Mid-Atlantic",0.418489548723112,7
"SJER",7.46708948301859,332,628.57240108624,1.89329036471759,"D17","San Joaquin Experimental Range NEON","Core Terrestrial","","","US Forest Service","https://www.fs.fed.us/psw/ef/san_joaquin/","Yes",37.10878,-119.73228,"WGS84",4110433.94,257213.9752,"11N","Madera","CA","US",400,252,502,"16.4°C",540,"NW",21,"Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub",NA,"","",NA,NA,NA,39,"Mixed - thermic Psammentic Haploxerolls","Psammentic Haploxerolls",250,270,65,95,"155","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D17.SJER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D17.SJER.DP1.00042/",6,"California",0.471392496392496,6
