"site","Observed.rich","Estimator.rich","Est_s.e..rich","year","Observed.div","Estimator.div","Est_s.e..div","turnover","propObs.rich","propObs.div","traps","years","final.obs.div","final.obs.rich","final.est.div.se","final.est.rich.se","prop.final.est.div","prop.final.est.rich","final.est.div","final.est.rich","warning","signif.rich","signif.div","final.signif.rich","final.signif.div","signifText.rich","signifText.div","obsRank"
"BARR",7,7,0.930497360572584,"2019",3.23470150689345,3.2677913747015,0.156187533621783,0.380952380952381,1,0.989873935017937,222,3,3.36649947938927,8,0.140748022366583,0.517861413158439,0.952826827283494,0.875,3.39484722120552,8,"N",0,0,1,1,"Overlap","Overlap",47
"BARR",8,8,0.713446580140716,"2021",3.38032727820123,3.41068238620398,0.155605385724098,0.462301587301587,1,0.99109998980687,303,4,3.36649947938927,8,0.140748022366583,0.517861413158439,0.995722946554533,1,3.39484722120552,8,"N",0,0,0,1,"Overlap","Overlap",47
"BARR",8,8,0.598675465408495,"2022",3.36649947938927,3.39484722120552,0.141787895836009,0.47172619047619,1,0.991649773916427,347,5,3.36649947938927,8,0.140748022366583,0.517861413158439,0.991649773916427,1,3.39484722120552,8,"N",0,0,0,1,"Overlap","Overlap",47
"BARR",8,8,0.517861413158439,"full",3.36649947938927,3.39484722120552,0.140748022366583,0.47172619047619,1,0.991649773916427,347,5,3.36649947938927,8,0.140748022366583,0.517861413158439,0.991649773916427,1,3.39484722120552,8,"N",0,0,0,1,"Overlap","Overlap",47
"BART",19,20.4952681388013,4.81839310496934,"2015",10.4618277863013,10.6018819056428,0.300027049944878,NA,0.927043250731107,0.98678969256704,317,1,11.1031534906969,27,0.11632065002101,10.0386766610382,0.939007585302676,0.481077690169484,11.1413666407488,39.4946604015378,"N",0,0,1,1,"Overlap","Overlap",34
"BART",21,26.991452991453,5.53240369453555,"2016",10.705295039136,10.8084651742828,0.20261069430415,0.227272727272727,0.778024065864471,0.990454691440153,702,2,11.1031534906969,27,0.11632065002101,10.0386766610382,0.9608601336197,0.53171744702943,11.1413666407488,39.4946604015378,"N",1,0,1,1,"No Overlap","Overlap",34
"BART",23,24.9981768459435,2.72997510969188,"2017",10.8895747897473,10.9470017669556,0.174852136913068,0.222332015810277,0.920067096962404,0.994754090806707,1097,3,11.1031534906969,27,0.11632065002101,10.0386766610382,0.977400272415366,0.582357203889376,11.1413666407488,39.4946604015378,"N",0,0,1,1,"Overlap","Overlap",34
"BART",25,30.9956331877729,4.11693406466139,"2018",11.0100093229571,11.0683815762771,0.157870725255886,0.217665788317962,0.806565229642153,0.994726216030972,1374,4,11.1031534906969,27,0.11632065002101,10.0386766610382,0.988209945689131,0.632996960749321,11.1413666407488,39.4946604015378,"N",1,0,1,1,"No Overlap","Overlap",34
"BART",25,30.9963942307692,4.71036166505811,"2019",10.996256930342,11.0412099180692,0.150855808272753,0.220067523056654,0.806545426344565,0.995928617600718,1664,5,11.1031534906969,27,0.11632065002101,10.0386766610382,0.986975591497361,0.632996960749321,11.1413666407488,39.4946604015378,"N",1,0,1,1,"No Overlap","Overlap",34
"BART",25,30.9966311061202,3.78247560304135,"2020",10.9532255369321,10.994711464363,0.128626371490524,0.228685597392691,0.80653926274794,0.996226737958025,1781,6,11.1031534906969,27,0.11632065002101,10.0386766610382,0.983113283147099,0.632996960749321,11.1413666407488,39.4946604015378,"N",1,0,1,1,"No Overlap","Overlap",34
"BART",26,35.995183044316,5.16414550155432,"2021",11.0167722019901,11.0576402939027,0.126319856109637,0.246126886716132,0.722318871610952,0.996304085607204,2076,7,11.1031534906969,27,0.11632065002101,10.0386766610382,0.988816951925536,0.658316839179294,11.1413666407488,39.4946604015378,"N",1,0,1,1,"No Overlap","Overlap",34
"BART",27,39.4946604015378,9.08986483557935,"2022",11.1031534906969,11.1413666407488,0.120516171174087,0.230446422380061,0.683636717609267,0.996570155952672,2341,8,11.1031534906969,27,0.11632065002101,10.0386766610382,0.996570155952672,0.683636717609267,11.1413666407488,39.4946604015378,"N",1,0,1,1,"No Overlap","Overlap",34
"BART",27,39.4946604015378,10.0386766610382,"full",11.1031534906969,11.1413666407488,0.11632065002101,0.230446422380061,0.683636717609267,0.996570155952672,2341,8,11.1031534906969,27,0.11632065002101,10.0386766610382,0.996570155952672,0.683636717609267,11.1413666407488,39.4946604015378,"N",1,0,1,1,"No Overlap","Overlap",34
"BLAN",50,71.2794612794613,14.8003626292431,"2015",19.0439658724532,20.4015729842261,1.03250331117386,NA,0.701464336324988,0.93345576280699,396,1,25.4477677470507,95,0.543219177687095,17.6978819052717,0.73506955659646,0.427376250405129,25.9077058783813,116.99293059126,"N",1,1,1,1,"No Overlap","No Overlap",3
"BLAN",61,86.570709382151,17.7197480847268,"2016",19.6812315621878,20.4934168876336,0.770353233189659,0.435483870967742,0.704626315706001,0.960368476867522,874,2,25.4477677470507,95,0.543219177687095,17.6978819052717,0.759667091118665,0.521399025494257,25.9077058783813,116.99293059126,"N",1,1,1,1,"No Overlap","No Overlap",3
"BLAN",69,79.5548956083513,8.40824310127189,"2017",21.0737431208384,21.5723392523856,0.671500070804538,0.408218125960061,0.867325630589561,0.976887247798498,1389,3,25.4477677470507,95,0.543219177687095,17.6978819052717,0.813416024551347,0.589779225559077,25.9077058783813,116.99293059126,"N",1,0,1,1,"No Overlap","Overlap",3
"BLAN",74,88.0755395683453,12.8464089312848,"2018",22.5651180730672,23.0277027140545,0.649394987559722,0.38496593012722,0.840187870124566,0.97991181983147,1807,4,25.4477677470507,95,0.543219177687095,17.6978819052717,0.87098094207935,0.63251685059959,25.9077058783813,116.99293059126,"N",1,0,1,1,"No Overlap","Overlap",3
"BLAN",82,115.31804982424,19.599080657177,"2019",23.0045935649979,23.5220349206412,0.591103249706996,0.395867304738273,0.71107688800651,0.978001845614587,2181,5,25.4477677470507,95,0.543219177687095,17.6978819052717,0.887944060851567,0.700897050664411,25.9077058783813,116.99293059126,"N",1,0,1,1,"No Overlap","Overlap",3
"BLAN",87,144.57580848383,33.1255377393127,"2020",23.717991737514,24.3116167191767,0.611057737548967,0.425168420061804,0.601760425290862,0.975582661222427,2381,6,25.4477677470507,95,0.543219177687095,17.6978819052717,0.915480199167521,0.743634675704924,25.9077058783813,116.99293059126,"N",1,0,1,1,"No Overlap","Overlap",3
"BLAN",95,119.036717098309,14.9459895812299,"2021",24.9749390313748,25.481689707911,0.522221955316486,0.429019660396331,0.798073084639444,0.980113144679773,2752,7,25.4477677470507,95,0.543219177687095,17.6978819052717,0.963996547923419,0.812014875769744,25.9077058783813,116.99293059126,"N",1,0,1,1,"No Overlap","Overlap",3
"BLAN",95,116.99293059126,14.4729288229285,"2022",25.4477677470507,25.9077058783813,0.595038869678655,0.436855561445703,0.812014875769744,0.982247052923571,3112,8,25.4477677470507,95,0.543219177687095,17.6978819052717,0.982247052923571,0.812014875769744,25.9077058783813,116.99293059126,"N",1,0,1,1,"No Overlap","Overlap",3
"BLAN",95,116.99293059126,17.6978819052717,"full",25.4477677470507,25.9077058783813,0.543219177687095,0.436855561445703,0.812014875769744,0.982247052923571,3112,8,25.4477677470507,95,0.543219177687095,17.6978819052717,0.982247052923571,0.812014875769744,25.9077058783813,116.99293059126,"N",1,0,1,1,"No Overlap","Overlap",3
"BONA",5,5.99159663865546,1.35299695257249,"2017",2.97978070115235,3.36825411256886,0.524834933605587,NA,0.834502103786816,0.884666240006389,119,1,4.5912729443747,19,0.509951927978667,15.2429190366174,0.615690631846746,0.184108399657962,4.83973695070621,27.1579135405502,"Y",0,0,1,1,"Overlap","Overlap",42
"BONA",7,11.484375,3.42019294652657,"2018",3.25580512304311,3.61180728435567,0.622616364267645,0.5,0.60952380952381,0.901433788326813,288,2,4.5912729443747,19,0.509951927978667,15.2429190366174,0.672723570765147,0.257751759521147,4.83973695070621,27.1579135405502,"Y",1,0,1,1,"No Overlap","Overlap",42
"BONA",9,13.4909090909091,4.75408213998712,"2019",3.59079813615448,3.82587340393511,0.496271160282895,0.472222222222222,0.66711590296496,0.93855644372894,495,3,4.5912729443747,19,0.509951927978667,15.2429190366174,0.741940765113382,0.331395119384332,4.83973695070621,27.1579135405502,"Y",0,0,1,1,"Overlap","Overlap",42
"BONA",11,23.479674796748,8.94592750146817,"2020",3.7586437951236,4.070878641579,0.485770208565569,0.5,0.468490304709141,0.923300379611834,615,4,4.5912729443747,19,0.509951927978667,15.2429190366174,0.776621505136791,0.405038479247517,4.83973695070621,27.1579135405502,"Y",1,0,1,1,"No Overlap","Overlap",42
"BONA",17,21.8938364779874,8.07529415286013,"2021",4.23122771963412,4.4705316444037,0.433383115540189,0.528846153846154,0.776474238176219,0.946470812913461,795,5,4.5912729443747,19,0.509951927978667,15.2429190366174,0.874268118852349,0.625968558837072,4.83973695070621,27.1579135405502,"Y",0,0,0,1,"Overlap","Overlap",42
"BONA",19,27.1579135405502,11.6339440874705,"2022",4.5912729443747,4.83973695070621,0.463334333573894,0.516410256410256,0.699611918700257,0.948661671313509,933,6,4.5912729443747,19,0.509951927978667,15.2429190366174,0.948661671313509,0.699611918700257,4.83973695070621,27.1579135405502,"Y",0,0,0,1,"Overlap","Overlap",42
"BONA",19,27.1579135405502,15.2429190366174,"full",4.5912729443747,4.83973695070621,0.509951927978667,0.516410256410256,0.699611918700257,0.948661671313509,933,6,4.5912729443747,19,0.509951927978667,15.2429190366174,0.948661671313509,0.699611918700257,4.83973695070621,27.1579135405502,"Y",0,0,0,1,"Overlap","Overlap",42
"CLBJ",15,23.974930362117,8.91787940953574,"2016",10.9217768624387,14.1678273315053,2.43344279694582,NA,0.625653537818055,0.770885796875267,359,1,25.3376014010543,69,1.42201978716401,13.1390300984344,0.401695934711419,0.168468247032813,27.1891645363176,89.0375501864067,"Y",1,1,1,1,"No Overlap","No Overlap",12
"CLBJ",40,52.7859185918592,9.22721909536994,"2017",18.3036682824664,20.965371540995,1.74550248570317,0.731707317073171,0.757777851879022,0.873042876758753,909,2,25.3376014010543,69,1.42201978716401,13.1390300984344,0.67319715756685,0.449248658754167,27.1891645363176,89.0375501864067,"Y",1,1,1,1,"No Overlap","No Overlap",12
"CLBJ",53,77.0273343837775,12.6556014369067,"2018",19.0925064594902,21.6823006260772,1.86304236603494,0.735853658536585,0.688067429880609,0.880557224473114,1327,3,25.3376014010543,69,1.42201978716401,13.1390300984344,0.702210118813604,0.595254472849271,27.1891645363176,89.0375501864067,"Y",1,1,1,1,"No Overlap","No Overlap",12
"CLBJ",58,78.1554939981533,14.1105137465737,"2019",21.7771249798057,24.1160336707909,1.55380138417692,0.694272809394761,0.742110337135998,0.903014371147685,1805,4,25.3376014010543,69,1.42201978716401,13.1390300984344,0.800948662865942,0.651410555193542,27.1891645363176,89.0375501864067,"Y",1,1,1,1,"No Overlap","No Overlap",12
"CLBJ",59,81.0297843665768,15.5341454005426,"2020",21.9078844917871,24.3243919111701,1.45338919523967,0.76070460704607,0.728127323319601,0.900654971018069,1855,5,25.3376014010543,69,1.42201978716401,13.1390300984344,0.805757913691091,0.662641771662396,27.1891645363176,89.0375501864067,"Y",1,1,1,1,"No Overlap","No Overlap",12
"CLBJ",62,84.03965274519,14.0064013501012,"2021",23.3129359073906,25.3518738741968,1.51726423786253,0.808563685636856,0.73774697984516,0.919574467081843,2131,6,25.3376014010543,69,1.42201978716401,13.1390300984344,0.857434801876705,0.696335421068958,27.1891645363176,89.0375501864067,"Y",1,1,1,1,"No Overlap","No Overlap",12
"CLBJ",69,89.0375501864067,12.08604400371,"2022",25.3376014010543,27.1891645363176,1.41721819831691,0.78743943500041,0.774953936350938,0.931900697691902,2536,7,25.3376014010543,69,1.42201978716401,13.1390300984344,0.931900697691902,0.774953936350938,27.1891645363176,89.0375501864067,"Y",1,1,1,1,"No Overlap","No Overlap",12
"CLBJ",69,89.0375501864067,13.1390300984344,"full",25.3376014010543,27.1891645363176,1.42201978716401,0.787439435000411,0.774953936350938,0.931900697691902,2536,7,25.3376014010543,69,1.42201978716401,13.1390300984344,0.931900697691902,0.774953936350938,27.1891645363176,89.0375501864067,"Y",1,1,1,1,"No Overlap","No Overlap",12
"CPER",38,59.0663194444444,25.0126444340382,"2015",13.8859031988999,14.4352247922668,0.59516222365678,NA,0.643344639676447,0.961945754134627,360,1,15.2077760691582,74,0.266294803219485,43.67013645138,0.899932576538124,0.263780583277751,15.4299372652077,144.059124928037,"N",0,0,1,1,"Overlap","Overlap",11
"CPER",50,73.1139285714286,18.3474095167623,"2016",14.3586510085168,14.720300472124,0.424985515580221,0.509803921568627,0.68386422364314,0.975431923805355,800,2,15.2077760691582,74,0.266294803219485,43.67013645138,0.93057092596828,0.347079714839146,15.4299372652077,144.059124928037,"N",1,0,1,1,"No Overlap","Overlap",11
"CPER",56,92.7183189655172,22.8456548566045,"2017",14.5806385589472,14.9152193966714,0.387660337882509,0.494032395566922,0.603979889031712,0.97756782325315,1160,3,15.2077760691582,74,0.266294803219485,43.67013645138,0.944957734327574,0.388729280619844,15.4299372652077,144.059124928037,"N",1,0,1,1,"No Overlap","Overlap",11
"CPER",57,77.2366776315789,18.546823562924,"2018",14.4555155861472,14.6896571318996,0.360628907126998,0.460933877746369,0.737991350066759,0.984060788917666,1520,4,15.2077760691582,74,0.266294803219485,43.67013645138,0.936848629886677,0.395670874916627,15.4299372652077,144.059124928037,"N",1,0,1,1,"No Overlap","Overlap",11
"CPER",64,121.570293965962,52.2301034567541,"2019",15.0410405187121,15.3199863108533,0.307707723147161,0.464748027357396,0.526444396177237,0.981792033851646,1939,5,15.2077760691582,74,0.266294803219485,43.67013645138,0.974795960617902,0.444262034994107,15.4299372652077,144.059124928037,"N",1,0,1,1,"No Overlap","Overlap",11
"CPER",68,120.059419957147,33.3220842551003,"2020",15.1079501572973,15.3625461142884,0.326747326993776,0.474020644108139,0.566386211296633,0.983427489486637,2178,6,15.2077760691582,74,0.266294803219485,43.67013645138,0.979132312570295,0.472028412181239,15.4299372652077,144.059124928037,"N",1,0,1,1,"No Overlap","Overlap",11
"CPER",70,122.063035853468,54.3708744186646,"2021",15.3641289051666,15.5817520939699,0.26223013567715,0.478350536756783,0.573474184961548,0.986033458401159,2566,7,15.2077760691582,74,0.266294803219485,43.67013645138,0.995735020894128,0.485911600774805,15.4299372652077,144.059124928037,"N",0,0,1,1,"Overlap","Overlap",11
"CPER",74,144.059124928037,60.6606157304045,"2022",15.2077760691582,15.4299372652077,0.274598759566737,0.47179080756759,0.513677977961937,0.985601937828329,2895,8,15.2077760691582,74,0.266294803219485,43.67013645138,0.985601937828329,0.513677977961937,15.4299372652077,144.059124928037,"N",1,0,1,1,"No Overlap","Overlap",11
"CPER",74,144.059124928037,43.67013645138,"full",15.2077760691582,15.4299372652077,0.266294803219485,0.47179080756759,0.513677977961937,0.985601937828329,2895,8,15.2077760691582,74,0.266294803219485,43.67013645138,0.985601937828329,0.513677977961937,15.4299372652077,144.059124928037,"N",1,0,1,1,"No Overlap","Overlap",11
"DCFS",35,49.3478260869565,19.5248343500276,"2017",18.0865471867078,20.2155588225592,1.37277104740836,NA,0.709251101321586,0.894684502439993,276,1,25.550245439588,84,0.876346585096057,13.7857469160306,0.684256287254347,0.323985869400657,26.4324165135289,108.029402840151,"Y",0,1,1,1,"Overlap","No Overlap",8
"DCFS",50,70.606831214161,22.9088444066033,"2018",20.4194181028088,21.826485327449,1.0548310097921,0.48,0.708146777587887,0.935533953198109,573,2,25.550245439588,84,0.876346585096057,13.7857469160306,0.772514238051507,0.462836956286653,26.4324165135289,108.029402840151,"Y",0,1,1,1,"Overlap","No Overlap",8
"DCFS",59,75.0363042899014,10.7094334945055,"2019",21.4510481609296,22.451458349978,0.868678867736645,0.441923076923077,0.786286059239466,0.955441193464858,834,3,25.550245439588,84,0.876346585096057,13.7857469160306,0.811543210585771,0.546147608418251,26.4324165135289,108.029402840151,"N",1,1,1,1,"No Overlap","No Overlap",8
"DCFS",69,94.760483645513,25.5792669133664,"2020",23.3258483411038,24.3614296074825,0.820865657451158,0.472776304155615,0.728151623393146,0.957490948476165,1022,4,25.550245439588,84,0.876346585096057,13.7857469160306,0.882471276478445,0.638714999675582,26.4324165135289,108.029402840151,"N",1,1,1,1,"No Overlap","No Overlap",8
"DCFS",77,95.1676799095151,11.6552494199166,"2021",24.7185149759792,25.6178890193654,0.903569911483516,0.491679002310259,0.809098215625423,0.964892734030259,1286,5,25.550245439588,84,0.876346585096057,13.7857469160306,0.935159105234574,0.712768912681446,26.4324165135289,108.029402840151,"N",1,0,1,1,"No Overlap","Overlap",8
"DCFS",84,108.029402840151,14.4965673295962,"2022",25.550245439588,26.4324165135289,0.843225438158652,0.493343201848207,0.777566086561578,0.966625409618171,1498,6,25.550245439588,84,0.876346585096057,13.7857469160306,0.966625409618171,0.777566086561578,26.4324165135289,108.029402840151,"N",1,1,1,1,"No Overlap","No Overlap",8
"DCFS",84,108.029402840151,13.7857469160306,"full",25.550245439588,26.4324165135289,0.876346585096057,0.493343201848207,0.777566086561578,0.966625409618171,1498,6,25.550245439588,84,0.876346585096057,13.7857469160306,0.966625409618171,0.777566086561578,26.4324165135289,108.029402840151,"N",1,1,1,1,"No Overlap","No Overlap",8
"DEJU",8,11.974358974359,4.42772572293583,"2016",6.49198857255335,9.65691391353441,2.77558615677407,NA,0.668094218415418,0.67226327485996,156,1,11.1347176934886,32,0.774542971029546,16.955626140874,0.547491035506395,0.160041629325547,11.8577075267519,49.9869942196532,"Y",0,1,1,1,"Overlap","No Overlap",32
"DEJU",18,33.9633027522936,16.2321951984101,"2017",9.07286495944176,10.7424836169888,1.55259203277561,0.611111111111111,0.52998379254457,0.844577965666469,436,2,11.1347176934886,32,0.774542971029546,16.955626140874,0.765144943824319,0.360093665982481,11.8577075267519,49.9869942196532,"Y",0,1,1,1,"Overlap","No Overlap",32
"DEJU",21,41.218653250774,26.0892283947023,"2018",9.06767528941551,10.3642679756158,1.24932055785058,0.580555555555556,0.509478072275582,0.874897803757023,646,3,11.1347176934886,32,0.774542971029546,16.955626140874,0.764707281652727,0.420109276979561,11.8577075267519,49.9869942196532,"Y",0,1,1,1,"Overlap","No Overlap",32
"DEJU",22,28.1175847457627,10.7925427926535,"2019",9.70746070518496,10.4396101396418,0.920089088575506,0.512037037037037,0.782428512225446,0.929868124895136,826,4,11.1347176934886,32,0.774542971029546,16.955626140874,0.818662518305854,0.440114480645254,11.8577075267519,49.9869942196532,"Y",0,0,1,1,"Overlap","Overlap",32
"DEJU",26,34.0917008196721,13.4826389344453,"2020",10.396232759346,11.195368649889,0.912044116185254,0.528764619883041,0.762648954873999,0.928619064227877,976,5,11.1347176934886,32,0.774542971029546,16.955626140874,0.876748961457464,0.520135295308028,11.8577075267519,49.9869942196532,"Y",0,0,1,1,"Overlap","Overlap",32
"DEJU",29,41.4896694214876,14.2960505738131,"2021",11.0578081447334,11.7540726303141,0.78085089137302,0.537297410192147,0.69896917484189,0.94076397964523,1210,6,11.1347176934886,32,0.774542971029546,16.955626140874,0.932541818879081,0.580150906305108,11.8577075267519,49.9869942196532,"Y",0,0,1,1,"Overlap","Overlap",32
"DEJU",32,49.9869942196532,20.5428152824552,"2022",11.1347176934886,11.8577075267519,0.732034329142964,0.546232690311638,0.640166517302188,0.939027857481547,1384,7,11.1347176934886,32,0.774542971029546,16.955626140874,0.939027857481547,0.640166517302188,11.8577075267519,49.9869942196532,"Y",0,0,1,1,"Overlap","Overlap",32
"DEJU",32,49.9869942196532,16.955626140874,"full",11.1347176934886,11.8577075267519,0.774542971029546,0.546232690311638,0.640166517302188,0.939027857481547,1384,7,11.1347176934886,32,0.774542971029546,16.955626140874,0.939027857481547,0.640166517302188,11.8577075267519,49.9869942196532,"Y",1,0,1,1,"No Overlap","Overlap",32
"DELA",23,29.3777777777778,8.54265186309613,"2015",9.70469076536508,10.4492610465637,0.842420235238896,NA,0.782904689863843,0.928744216659847,288,1,17.5661179375739,59,0.709397618561866,47.0432925519725,0.527637525172063,0.205587208249516,18.3927228492712,111.874664750958,"Y",0,0,1,1,"Overlap","Overlap",16
"DELA",37,65.1238601823708,28.9016351247346,"2016",11.8426813027462,12.5988439929537,0.697617771532132,0.605263157894737,0.568148139505035,0.939981581593482,658,2,17.5661179375739,59,0.709397618561866,47.0432925519725,0.643878636121321,0.33072724805357,18.3927228492712,111.874664750958,"Y",0,1,1,1,"Overlap","No Overlap",16
"DELA",40,82.6157517899761,28.8089723937399,"2017",12.306771139649,13.1260168054299,0.729607412888631,0.655572755417957,0.484169170325861,0.93758611786616,838,3,17.5661179375739,59,0.709397618561866,47.0432925519725,0.66911088915455,0.357542970868724,18.3927228492712,111.874664750958,"Y",1,1,1,1,"No Overlap","No Overlap",16
"DELA",46,74.8763502454992,31.7017890883869,"2018",14.5341151609024,15.2528747729669,0.672925245550072,0.637048503611971,0.61434618339674,0.952877105282582,1222,4,17.5661179375739,59,0.709397618561866,47.0432925519725,0.790210089066738,0.411174416499033,18.3927228492712,111.874664750958,"Y",0,1,1,1,"Overlap","No Overlap",16
"DELA",53,89.7266221374046,27.9638255405504,"2019",16.1447290829571,16.960179247014,0.79095335712556,0.609730822153423,0.590683107615903,0.951919720176283,1572,5,17.5661179375739,59,0.709397618561866,47.0432925519725,0.877778087304616,0.473744436401059,18.3927228492712,111.874664750958,"Y",1,1,1,1,"No Overlap","No Overlap",16
"DELA",54,94.3081407453675,39.695269299875,"2020",16.1002259637311,16.9323886574368,0.69768163730403,0.630641800579881,0.572591078280297,0.950853792070252,1601,6,17.5661179375739,59,0.709397618561866,47.0432925519725,0.875358482573399,0.482683010672778,18.3927228492712,111.874664750958,"Y",1,1,1,1,"No Overlap","No Overlap",16
"DELA",57,91.5523072060683,25.2370730243321,"2021",16.6093085184396,17.3799980568117,0.762763726820075,0.629701500483234,0.622594904918157,0.955656523329124,1808,7,17.5661179375739,59,0.709397618561866,47.0432925519725,0.903036959484101,0.509498733487932,18.3927228492712,111.874664750958,"Y",1,1,1,1,"No Overlap","No Overlap",16
"DELA",59,111.874664750958,29.4986679126128,"2022",17.5661179375739,18.3927228492712,0.582215873764681,0.584079118640802,0.527375882031368,0.95505804559383,2088,8,17.5661179375739,59,0.709397618561866,47.0432925519725,0.95505804559383,0.527375882031368,18.3927228492712,111.874664750958,"Y",1,1,1,1,"No Overlap","No Overlap",16
"DELA",59,111.874664750958,47.0432925519725,"full",17.5661179375739,18.3927228492712,0.709397618561866,0.584079118640802,0.527375882031368,0.95505804559383,2088,8,17.5661179375739,59,0.709397618561866,47.0432925519725,0.95505804559383,0.527375882031368,18.3927228492712,111.874664750958,"Y",1,1,1,1,"No Overlap","No Overlap",16
"DSNY",19,23.4794520547945,7.95815345973248,"2015",9.78833107596127,11.367775554844,1.60183641757748,NA,0.809218203033839,0.861059494774271,219,1,10.5706612849074,44,0.416874552023973,13.4041242013803,0.899218217839255,0.31495403780788,10.8853789678347,60.3262626262626,"Y",0,0,1,1,"Overlap","Overlap",26
"DSNY",27,39.0810047095761,15.5746597317004,"2016",12.1199766719988,13.7991874859883,1.31269630366242,0.571428571428571,0.690872719384927,0.878310892167053,637,2,10.5706612849074,44,0.416874552023973,13.4041242013803,1.11341798092764,0.447566264253303,10.8853789678347,60.3262626262626,"Y",0,1,1,1,"Overlap","No Overlap",26
"DSNY",34,50.8850574712644,13.901234667307,"2017",11.9590592748288,13.0172546679555,1.05990708625765,0.553571428571429,0.668172577366162,0.918708251461675,1131,3,10.5706612849074,44,0.416874552023973,13.4041242013803,1.09863508750285,0.563601962393048,10.8853789678347,60.3262626262626,"Y",1,0,1,1,"No Overlap","Overlap",26
"DSNY",36,60.4833333333333,22.267299184656,"2018",10.7331945896981,11.437801061166,0.815346292236217,0.535714285714286,0.595205290713695,0.938396684144103,1470,4,10.5706612849074,44,0.416874552023973,13.4041242013803,0.986019377130886,0.596755019004404,10.8853789678347,60.3262626262626,"Y",1,0,1,1,"No Overlap","Overlap",26
"DSNY",39,55.3245283018868,14.0923295428528,"2019",10.5779255670779,11.039143620789,0.595836580162515,0.521350931677019,0.704931450787805,0.958219761463875,1855,5,10.5706612849074,44,0.416874552023973,13.4041242013803,0.971755379241704,0.646484603921437,10.8853789678347,60.3262626262626,"Y",1,0,1,1,"No Overlap","Overlap",26
